#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_007880.1",275,1750,"+",,"dnaA","FTL_RS00005","WP_003013591.1",491,"chromosomal replication initiator protein DnaA"
"chromosome","NC_007880.1",1787,2890,"+",,,"FTL_RS00010","WP_003013639.1",367,"DNA polymerase III subunit beta"
"chromosome","NC_007880.1",2887,3324,"-",,,"FTL_RS00015","WP_003013644.1",145,"hypothetical protein"
"chromosome","NC_007880.1",3336,4216,"-",,,"FTL_RS10080","WP_011457326.1",293,"IS630 family transposase"
"chromosome","NC_007880.1",4210,4944,"+",,,"FTL_RS00030","WP_061317703.1",244,"cation:proton antiporter, partial"
"chromosome","NC_007880.1",6904,7107,"-",,,"FTL_RS11025","WP_003024316.1",67,"hypothetical protein"
"chromosome","NC_007880.1",7181,8104,"+",,"sppA","FTL_RS00045","WP_003013655.1",307,"signal peptide peptidase SppA"
"chromosome","NC_007880.1",8194,8733,"+",,,"FTL_RS00050","WP_011457328.1",179,"OmpH family outer membrane protein"
"chromosome","NC_007880.1",8869,9291,"+",,,"FTL_RS00055","WP_003013699.1",140,"rhodanese-like domain-containing protein"
"chromosome","NC_007880.1",9318,9767,"+",,"secB","FTL_RS00060","WP_003013731.1",149,"MULTISPECIES: protein-export chaperone SecB"
"chromosome","NC_007880.1",9789,10868,"+",,"recA","FTL_RS00065","WP_003013734.1",359,"recombinase RecA"
"chromosome","NC_007880.1",10855,11307,"+",,,"FTL_RS00070","WP_003013736.1",150,"regulatory protein RecX"
"chromosome","NC_007880.1",11480,11956,"+",,"ssb","FTL_RS00075","WP_003013740.1",158,"single-stranded DNA-binding protein"
"chromosome","NC_007880.1",12062,13216,"+",,,"FTL_RS00080","WP_003013741.1",384,"acetate kinase"
"chromosome","NC_007880.1",13226,15322,"+",,"pta","FTL_RS00085","WP_003013744.1",698,"phosphate acetyltransferase"
"chromosome","NC_007880.1",16234,17114,"-",,,"FTL_RS00095","WP_011457329.1",293,"MULTISPECIES: IS630 family transposase"
"chromosome","NC_007880.1",17609,19381,"-",,"aspS","FTL_RS00105","WP_010032850.1",590,"aspartate--tRNA ligase"
"chromosome","NC_007880.1",19555,20736,"-",,,"FTL_RS00110","WP_003013752.1",393,"MFS transporter"
"chromosome","NC_007880.1",21378,22258,"+",,,"FTL_RS10085","WP_011457326.1",293,"IS630 family transposase"
"chromosome","NC_007880.1",23205,24428,"-",,,"FTL_RS00130","WP_010032355.1",407,"serine/threonine transporter"
"chromosome","NC_007880.1",24755,25000,"-",,,"FTL_RS00135","WP_076010799.1",81,"Dabb family protein"
